Date,Symbol,Mcap,Change,Dpower,Mpower,Scanner_Source,Sector,Volume multiples,Marketcap,Sectors
30th Apr'26,MTARTECH,midcap,14.15,85.83,84.63,Multiyear Breakout,,,,
30th Apr'26,SIGMAADV,midcap,5.0,87.69,76.15,Multiyear Breakout,,,,
30th Apr'26,SCHNEIDER,largecap,4.4,77.04,69.15,Multiyear Breakout,,,,
30th Apr'26,ACUTAAS,largecap,3.66,64.3,84.15,Multiyear Breakout,,,,
30th Apr'26,RAMRAT,smallcap,3.45,77.59,70.5,Multiyear Breakout,,,,
30th Apr'26,CUPID,midcap,3.23,82.14,81.94,Multiyear Breakout,,,,
30th Apr'26,POWERINDIA,largecap,2.02,84.63,77.1,Multiyear Breakout,,,,
30th Apr'26,PRECWIRE,midcap,1.45,75.75,80.76,Multiyear Breakout,,,,
30th Apr'26,NAVINFLUOR,largecap,0.925,68.11,73.18,Multiyear Breakout,,,,
30th Apr'26,JAYNECOIND,midcap,0.136,78.35,72.66,Multiyear Breakout,,,,
30th Apr'26,MCX,largecap,0.108,71.17,81.69,Multiyear Breakout,,,,
30th Apr'26,ADANIPORTS,largecap,-0.229,71.79,62.87,Multiyear Breakout,,,,
30th Apr'26,LLOYDSME,largecap,-0.44,83.62,67.91,Multiyear Breakout,,,,
30th Apr'26,APARINDS,largecap,-0.456,67.1,66.93,Multiyear Breakout,,,,
30th Apr'26,HAPPYFORGE,midcap,3.59,59.45,61.64,Screener 1,industrials,,,
30th Apr'26,SHRIPISTON,midcap,1.3,56.43,71.67,Screener 1,auto,,,
30th Apr'26,DWARKESH,,8.3,,,Weekly Breakout,,22.12,smallcap,fmcg
30th Apr'26,MASFIN,,4.3,,,Weekly Breakout,,13.64,midcap,financials
30th Apr'26,NAVINFLUOR,,0.925,,,Weekly Breakout,,9.77,largecap,chemicals
30th Apr'26,ACUTAAS,,3.66,,,Weekly Breakout,,7.96,largecap,healthcare
30th Apr'26,BANARISUG,,2.35,,,Weekly Breakout,,7.21,smallcap,fmcg
30th Apr'26,BAJAJ-AUTO,,4.72,,,Weekly Breakout,,4.05,largecap,auto
30th Apr'26,UGARSUGAR,,3.41,,,Weekly Breakout,,3.64,smallcap,fmcg
30th Apr'26,MIDCAPETF,,-0.794,,,Weekly Breakout,,3.21,smallcap,indices
30th Apr'26,SAILIFE,,1.36,,,Weekly Breakout,,2.47,largecap,healthcare
