symbol,total_score,volume_conviction,accumulation_pattern,rs_score,rs_status,market_cap_momentum_score,sector_strength,institutional_score,multibagger_bonus,double_momentum_bonus,block_buying_detected,sustained_volume,price_tightening,volume_distribution,delivery_pct,fii_holding,dii_holding,volume_trend,price_momentum,signal,close,market_cap
VENUSREM,67.27272727272727,25,17,13,Strong RS | Strong RS uptrend ✓ | vs Nifty 50,10,6,2,1,0,False,False,False,72.68474856970293,0.0,2.8,1.2,Surging,2.311991869918699,✅ Buy,1006.75,smallcap
IMFA,60.909090909090914,22,14,13,Strong RS | Strong RS uptrend ✓ | vs MidCap Index,7,6,2,3,0,False,True,False,65.18354593287825,0.0,3.87,0.82,Surging,8.266308773601876,👀 Watch,1548.0999755859375,midcap
SUPRAJIT,57.27272727272727,13,22,10,Strong RS | Weak RS uptrend | vs Nifty 50,3,6,7,2,0,False,False,True,58.0852994800717,0.0,6.5,17.17,Rising,6.50590894184334,👀 Watch,446.1000061035156,largecap
UJJIVANSFB,56.36363636363636,16,14,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,8,0,0,False,False,False,59.06296607737873,0.0,17.23,31.12,Rising,1.6783487240033226,👀 Watch,62.400001525878906,largecap
MMTC,56.36363636363636,25,14,11,Above avg RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,2,1,0,False,False,False,80.36176595663203,0.0,0.13,1.77,Rising,3.9405085046340207,👀 Watch,67.79000091552734,largecap
TATACONSUM,56.36363636363636,13,19,13,At 52W RS high ✓ | Moderate RS uptrend | vs Nifty 50,3,6,8,0,0,False,False,False,55.47543050707851,0.0,20.79,24.18,Rising,1.3615931080138148,👀 Watch,1176.199951171875,largecap
PRICOLLTD,55.45454545454545,12,17,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,8,0,0,False,False,False,61.72220388711239,0.0,15.61,12.44,Declining,7.954540882010916,👀 Watch,622.25,largecap
JKPAPER,55.45454545454545,15,17,13,Strong RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,6,1,0,False,False,False,67.84771829688924,0.0,11.59,6.15,Normal,2.571041948579161,👀 Watch,379.0,largecap
GRAPHITE,55.45454545454545,19,11,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,6,1,0,False,False,False,68.55569175932837,0.0,6.7,10.49,Rising,6.067019400352733,👀 Watch,751.75,largecap
MAYURUNIQ,53.63636363636364,16,17,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,2,0,0,False,False,False,60.38167051764209,0.0,3.68,3.65,Rising,11.064056971314338,⚠️ Avoid,629.4000244140625,largecap
GEOJITFSL,52.72727272727272,19,14,11,Above avg RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,4,1,0,False,False,False,69.87835114351194,0.0,1.87,9.87,Normal,9.740366145318816,⚠️ Avoid,71.43000030517578,largecap
TITAN,52.72727272727272,10,16,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,8,0,0,False,False,False,52.6166811369023,0.0,15.65,14.84,Normal,3.346321338528535,⚠️ Avoid,4509.0,largecap
KARURVYSYA,52.72727272727272,16,17,8,Near 52W RS high | RS downtrend ⚠️ | vs Nifty 50,3,6,8,0,0,False,False,False,64.03896860780172,0.0,19.25,39.26,Normal,2.437794266574026,⚠️ Avoid,304.6499938964844,largecap
RICOAUTO,51.81818181818182,18,14,13,At 52W RS high ✓ | Moderate RS uptrend | vs Nifty 50,3,6,2,1,0,False,False,False,71.8216379163635,0.0,2.14,0.09,Declining,9.76647257709934,⚠️ Avoid,126.44000244140625,largecap
DLINKINDIA,50.0,19,14,11,Above avg RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,2,0,0,False,False,False,62.86359546624769,0.0,1.26,0.01,Surging,4.687673793960182,⚠️ Avoid,466.75,largecap
TIMKEN,50.0,16,9,13,At 52W RS high ✓ | Moderate RS uptrend | vs Nifty 50,3,6,8,0,0,False,False,False,63.75369945738962,0.0,6.96,30.63,Normal,3.4413334009589445,⚠️ Avoid,3595.0,largecap
WELSPUNLIV,49.09090909090909,12,14,13,Strong RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,6,0,0,False,False,False,63.57011754609731,0.0,4.99,11.18,Declining,3.336428380264403,⚠️ Avoid,133.8000030517578,largecap
JBMA,49.09090909090909,18,11,13,Strong RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,2,1,0,False,False,False,79.1360498779152,0.0,1.97,0.1,Declining,3.3720394139343632,⚠️ Avoid,649.9000244140625,largecap
GALAPREC,49.09090909090909,13,17,11,Strong RS | Moderate RS uptrend | vs Nifty 50,3,6,2,2,0,False,True,False,53.75802141100413,0.0,1.3,5.46,Rising,9.332146034626328,⚠️ Avoid,857.0,largecap
PIDILITIND,48.18181818181818,13,16,8,Near 52W RS high | RS downtrend ⚠️ | vs Nifty 50,3,6,7,0,0,False,False,False,52.13304138806859,0.0,11.75,9.56,Rising,8.163566349635108,⚠️ Avoid,1476.0,largecap
BANARBEADS,48.18181818181818,22,14,5,Above avg RS | RS downtrend ⚠️ | vs Nifty 50,3,6,2,1,0,False,False,False,71.528449438337,0.0,0.0,0.0,Rising,9.949253050755383,⚠️ Avoid,121.33999633789062,largecap
DBSTOCKBRO,48.18181818181818,12,19,11,Above avg RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,2,0,0,False,False,False,61.06932323270835,0.0,0.0,0.0,Declining,1.423362417615938,⚠️ Avoid,27.790000915527344,largecap
APOLLOHOSP,48.18181818181818,6,16,12,At 52W RS high ✓ | Weak RS uptrend | vs Nifty 50,3,6,8,2,0,False,False,True,49.88449035525592,0.0,42.62,22.76,Declining,4.646203554119547,⚠️ Avoid,8097.0,largecap
ELDEHSG,48.18181818181818,15,19,7,Strong RS | RS downtrend ⚠️ | vs Nifty 50,3,6,2,1,0,False,False,False,68.83868903220323,0.0,0.82,0.32,Declining,4.3649846130040455,⚠️ Avoid,859.5499877929688,largecap
FLAIR,48.18181818181818,12,13,15,At 52W RS high ✓ | Strong RS uptrend ✓ | vs Nifty 50,3,6,4,0,0,False,False,False,60.16324479445032,0.0,0.3,10.34,Normal,4.959571326724165,⚠️ Avoid,337.54998779296875,largecap
SENCO,48.18181818181818,12,11,14,Near 52W RS high | Strong RS uptrend ✓ | vs Nifty 50,3,6,7,0,0,False,False,False,61.740061922902825,0.0,7.6,12.61,Declining,8.977037637740953,⚠️ Avoid,365.3999938964844,largecap
PPAP,47.27272727272727,18,11,9,Above avg RS | Moderate RS uptrend | vs Nifty 50,3,6,2,3,0,False,True,False,72.29450969875661,0.0,5.66,0.0,Declining,15.220514739791366,⚠️ Avoid,232.25,largecap
LUMAXIND,46.36363636363636,15,17,7,Strong RS | RS downtrend ⚠️ | vs Nifty 50,3,6,2,1,0,False,False,False,65.04122897347905,0.0,1.63,6.07,Declining,14.025536969217065,⚠️ Avoid,5760.0,largecap
ASIANPAINT,46.36363636363636,6,19,13,Strong RS | Strong RS uptrend ✓ | vs Nifty 50,3,6,4,0,0,False,False,False,54.88000134018998,0.0,12.11,0.0,Normal,6.200718869004962,⚠️ Avoid,2599.89990234375,largecap
FIEMIND,44.54545454545455,9,11,14,Near 52W RS high | Strong RS uptrend ✓ | vs Nifty 50,3,6,6,0,0,False,False,False,55.57291211879196,0.0,6.86,11.4,Declining,-0.14535738700390757,⚠️ Avoid,2267.0,largecap
