Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
13th May'26,SAIL,largecap,10.97,69.37,71.26,metals & mining,Screener 1,,,
13th May'26,USHAMART,midcap,5.63,62.93,62.39,metals & mining,Screener 1,,,
13th May'26,TATASTEEL,largecap,2.14,61.02,66.24,metals & mining,Screener 1,,,
13th May'26,GRAPHITE,midcap,3.97,60.84,61.05,industrials,Screener 1,,,
13th May'26,MANAPPURAM,largecap,4.25,59.89,63.43,financials,Screener 1,,,
13th May'26,PARAS,midcap,4.35,59.8,63.07,aerospace & defence,Screener 1,,,
13th May'26,QPOWER,midcap,5.63,58.94,70.95,industrials,Screener 1,,,
13th May'26,CENTUM,smallcap,4.14,58.86,67.42,consumer discretionary,Screener 1,,,
13th May'26,NLCINDIA,largecap,2.82,58.79,66.75,power & utilities,Screener 1,,,
13th May'26,PTC,midcap,3.17,58.54,61.23,power & utilities,Screener 1,,,
13th May'26,COALINDIA,largecap,1.49,57.48,63.44,metals & mining,Screener 1,,,
13th May'26,JSWSTEEL,largecap,1.62,57.29,65.45,metals & mining,Screener 1,,,
13th May'26,BHARATSE,smallcap,2.81,57.27,67.53,auto,Screener 1,,,
13th May'26,STEELCAS,smallcap,4.27,57.2,70.78,industrials,Screener 1,,,
13th May'26,VISHNU,smallcap,1.79,55.61,61.79,chemicals,Screener 1,,,
13th May'26,CUMMINSIND,largecap,1.09,55.23,70.61,industrials,Screener 1,,,
13th May'26,LINDEINDIA,largecap,0.463,55.18,61.33,chemicals,Screener 1,,,
13th May'26,J&KBANK,midcap,3.04,55.01,64.79,bank,Screener 1,,,
13th May'26,FOSECOIND,,13.08,,,,Tiger breakouts,23.75,smallcap,chemicals
13th May'26,BERGEPAINT,,7.2,,,,Tiger breakouts,17.75,largecap,building materials
13th May'26,DBSTOCKBRO,,0.736,,,,Tiger breakouts,2.5,smallcap,financials
