Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
5th Jun'26,FEDERALBNK,largecap,1.35,66.98,71.09,bank,Screener 1,,,
5th Jun'26,NGLFINE,smallcap,6.23,59.53,66.43,healthcare,Screener 1,,,
5th Jun'26,ASTERDM,largecap,2.16,59.23,70.95,healthcare,Screener 1,,,
5th Jun'26,JBCHEPHARM,largecap,1.67,55.74,71.81,healthcare,Screener 1,,,
5th Jun'26,GOKULAGRO,midcap,0.453,55.42,68.8,fmcg,Screener 1,,,
5th Jun'26,PRIMO,,18.84,,,,Tiger breakouts,15.61,smallcap,chemicals
5th Jun'26,LOTUSEYE,,14.05,,,,Tiger breakouts,14.67,smallcap,healthcare
5th Jun'26,SETL,,12.61,,,,Tiger breakouts,13.82,smallcap,industrials
5th Jun'26,GANESHBE,,10.64,,,,Tiger breakouts,12.66,smallcap,miscellaneous
5th Jun'26,PRIMESECU,,6.87,,,,Tiger breakouts,8.55,smallcap,financials
5th Jun'26,GTL,,8.39,,,,Tiger breakouts,8.0,smallcap,telecom-service
5th Jun'26,TIPSMUSIC,,2.8,,,,Tiger breakouts,7.53,midcap,media
5th Jun'26,KIMS,,3.14,,,,Tiger breakouts,7.0,largecap,healthcare
5th Jun'26,TVSSCS,,5.72,,,,Tiger breakouts,5.37,midcap,transportation
5th Jun'26,EQUITASBNK,,2.28,,,,Tiger breakouts,4.91,midcap,bank
5th Jun'26,JMA,,3.11,,,,Tiger breakouts,4.0,smallcap,auto
5th Jun'26,RICOAUTO,,4.17,,,,Tiger breakouts,3.33,smallcap,auto
5th Jun'26,INOXINDIA,,4.9,,,,Tiger breakouts,2.47,midcap,industrials
5th Jun'26,VASWANI,,3.02,,,,Tiger breakouts,2.35,smallcap,metals & mining
