Date,Symbol,D change,M change,W rsi,Scanner_Source,Mcap,Change,Dpower,Mpower,Sector,Volume multiples,Marketcap,Sectors
22nd Jul'26,APOLLO,3.67,-4.67,61.02,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,SUYOG,1.24,1.91,57.99,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,HONASA,1.23,-0.273,75.44,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,GANESHHOU,0.674,6.59,58.71,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,DATAMATICS,0.67,3.12,54.93,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,FINEORG,0.561,-6.94,55.23,RSI 5 SWING TRADE STRATEGY,,,,,,,,
22nd Jul'26,DATAPATTNS,,,,Screener 1,largecap,12.7,62.83,73.09,aerospace & defence,,,
22nd Jul'26,BOSCHLTD,,,,Screener 1,largecap,1.69,61.31,63.42,auto,,,
22nd Jul'26,DIVGIITTS,,,,Screener 1,smallcap,2.56,57.26,65.83,auto,,,
22nd Jul'26,KERNEX,,,,Screener 1,smallcap,3.01,57.09,72.18,consumer discretionary,,,
22nd Jul'26,HONASA,,,,Screener 1,midcap,1.23,56.74,65.1,services,,,
22nd Jul'26,SHAILY,,,,Screener 1,midcap,1.38,56.35,69.23,plastic products,,,
22nd Jul'26,BHEL,,,,Screener 1,largecap,0.762,56.14,71.99,industrials,,,
22nd Jul'26,KRISHANA,,,,Screener 1,smallcap,0.56,55.5,75.99,chemicals,,,
22nd Jul'26,INGERRAND,,,,Screener 1,midcap,0.263,55.48,61.36,industrials,,,
22nd Jul'26,RPTECH,,,,Screener 1,smallcap,0.161,55.15,77.47,services,,,
22nd Jul'26,GANESHBE,,,,Tiger breakouts,,3.73,,,,33.37,smallcap,miscellaneous
22nd Jul'26,ASAHISONG,,,,Tiger breakouts,,11.4,,,,9.98,smallcap,chemicals
22nd Jul'26,FAIRCHEMOR,,,,Tiger breakouts,,4.93,,,,4.9,smallcap,chemicals
22nd Jul'26,MEDANTA,,,,Tiger breakouts,,0.804,,,,4.39,largecap,healthcare
22nd Jul'26,NESTLEIND,,,,Tiger breakouts,,2.87,,,,4.07,largecap,fmcg
22nd Jul'26,WSTCSTPAPR,,,,Tiger breakouts,,5.65,,,,4.02,smallcap,building materials
22nd Jul'26,IIFLCAPS,,,,Tiger breakouts,,0.927,,,,3.83,midcap,financials
22nd Jul'26,COSMOFIRST,,,,Tiger breakouts,,4.36,,,,3.55,smallcap,industrials
22nd Jul'26,RRKABEL,,,,Tiger breakouts,,3.71,,,,3.22,largecap,industrials
22nd Jul'26,EVEREADY,,,,Tiger breakouts,,3.61,,,,2.92,smallcap,industrials
