Date,Close,High,Low,Open,Volume
2025-05-13,13.8100004196167,13.8100004196167,13.420000076293945,13.800000190734863,89714
2025-05-14,14.5,14.5,13.920000076293945,14.289999961853027,61769
2025-05-15,15.220000267028809,15.220000267028809,14.4399995803833,14.869999885559082,94090
2025-05-16,15.979999542236328,15.979999542236328,15.289999961853027,15.399999618530273,146612
2025-05-19,16.760000228881836,16.770000457763672,15.5600004196167,16.389999389648438,313575
2025-05-20,15.920000076293945,17.229999542236328,15.920000076293945,16.989999771118164,184788
2025-05-21,15.119999885559082,16.270000457763672,15.119999885559082,15.399999618530273,181286
2025-05-22,14.550000190734863,15.25,14.489999771118164,15.109999656677246,220508
2025-05-23,14.720000267028809,14.989999771118164,14.130000114440918,14.130000114440918,58768
2025-05-26,15.449999809265137,15.449999809265137,14.510000228881836,14.510000228881836,65552
2025-05-27,15.949999809265137,16.219999313354492,14.789999961853027,15.6899995803833,334613
2025-05-28,15.180000305175781,15.850000381469727,15.149999618530273,15.399999618530273,250259
2025-05-29,14.869999885559082,15.210000038146973,14.649999618530273,15.199999809265137,75724
2025-05-30,14.850000381469727,15.300000190734863,14.760000228881836,14.880000114440918,89459
2025-06-02,14.430000305175781,14.84000015258789,14.270000457763672,14.319999694824219,116236
2025-06-03,14.760000228881836,14.859999656677246,14.5,14.859999656677246,56720
2025-06-04,14.020000457763672,15.039999961853027,14.020000457763672,15.039999961853027,266688
2025-06-05,13.949999809265137,14.720000267028809,13.850000381469727,14.350000381469727,440795
2025-06-06,15.34000015258789,15.34000015258789,13.5,13.5,365316
2025-06-09,15.710000038146973,16.040000915527344,15.020000457763672,15.949999809265137,264724
2025-06-10,14.859999656677246,16.0,14.5,15.779999732971191,395539
2025-06-11,14.90999984741211,15.359999656677246,14.699999809265137,15.15999984741211,133947
2025-06-12,14.859999656677246,15.270000457763672,14.819999694824219,15.270000457763672,54596
2025-06-13,14.880000114440918,15.050000190734863,14.15999984741211,14.15999984741211,76148
2025-06-16,14.520000457763672,15.329999923706055,14.3100004196167,15.199999809265137,108112
2025-06-17,14.220000267028809,14.819999694824219,14.0,14.510000228881836,56760
2025-06-18,14.130000114440918,14.539999961853027,14.0,14.220000267028809,56573
2025-06-19,13.510000228881836,14.40999984741211,13.420000076293945,14.40999984741211,143841
2025-06-20,13.970000267028809,14.229999542236328,13.5,13.5,48689
2025-06-23,13.890000343322754,14.069999694824219,13.729999542236328,14.069999694824219,24501
2025-06-24,13.8100004196167,14.149999618530273,13.800000190734863,13.800000190734863,59971
2025-06-25,14.100000381469727,14.260000228881836,13.8100004196167,13.8100004196167,41055
2025-06-26,14.260000228881836,14.390000343322754,14.100000381469727,14.100000381469727,42530
2025-06-27,14.069999694824219,14.539999961853027,14.020000457763672,14.539999961853027,37575
2025-06-30,14.270000457763672,14.420000076293945,14.050000190734863,14.069999694824219,27772
2025-07-01,14.069999694824219,14.329999923706055,14.020000457763672,14.270000457763672,40851
2025-07-02,14.130000114440918,14.460000038146973,13.930000305175781,14.460000038146973,35911
2025-07-03,13.789999961853027,14.4399995803833,13.609999656677246,14.4399995803833,67131
2025-07-04,14.25,14.289999961853027,13.770000457763672,13.770000457763672,128858
2025-07-07,13.920000076293945,14.369999885559082,13.859999656677246,14.079999923706055,53034
2025-07-08,13.949999809265137,14.0,13.75,13.989999771118164,48719
2025-07-09,13.850000381469727,14.0,13.729999542236328,14.0,34167
2025-07-10,13.899999618530273,14.460000038146973,13.75,13.949999809265137,185276
2025-07-11,13.90999984741211,14.199999809265137,13.75,14.199999809265137,46601
2025-07-14,13.960000038146973,14.350000381469727,13.859999656677246,14.279999732971191,112376
2025-07-15,14.010000228881836,14.380000114440918,13.850000381469727,14.380000114440918,40488
2025-07-16,13.869999885559082,14.239999771118164,13.760000228881836,14.239999771118164,68791
2025-07-17,14.039999961853027,14.319999694824219,13.859999656677246,14.319999694824219,47083
2025-07-18,13.819999694824219,14.25,13.779999732971191,13.90999984741211,30039
2025-07-21,13.770000457763672,14.140000343322754,13.5600004196167,13.819999694824219,43549
2025-07-22,13.890000343322754,14.09000015258789,13.510000228881836,13.510000228881836,22701
2025-07-23,13.859999656677246,14.1899995803833,13.510000228881836,13.640000343322754,104489
2025-07-24,13.880000114440918,14.09000015258789,13.800000190734863,14.09000015258789,34007
2025-07-25,14.100000381469727,14.300000190734863,13.630000114440918,14.069999694824219,108917
2025-07-28,13.430000305175781,14.1899995803833,12.6899995803833,14.100000381469727,102773
2025-07-29,13.970000267028809,14.100000381469727,13.399999618530273,13.399999618530273,95108
2025-07-30,13.949999809265137,14.399999618530273,13.8100004196167,14.399999618530273,8005
2025-07-31,13.739999771118164,13.989999771118164,13.300000190734863,13.670000076293945,24684
2025-08-01,13.800000190734863,14.15999984741211,13.529999732971191,13.739999771118164,20621
2025-08-04,13.640000343322754,14.180000305175781,13.0600004196167,14.180000305175781,53679
2025-08-05,13.479999542236328,13.979999542236328,13.270000457763672,13.979999542236328,68955
2025-08-06,13.479999542236328,14.819999694824219,13.239999771118164,13.600000381469727,966673
2025-08-07,13.59000015258789,13.890000343322754,13.510000228881836,13.890000343322754,45577
2025-08-08,13.619999885559082,14.199999809265137,13.350000381469727,13.75,74156
2025-08-11,13.720000267028809,14.180000305175781,13.359999656677246,14.180000305175781,10333
2025-08-12,13.369999885559082,14.720000267028809,13.15999984741211,13.449999809265137,45404
2025-08-13,13.829999923706055,14.25,13.399999618530273,13.800000190734863,82700
2025-08-14,13.8100004196167,14.069999694824219,13.649999618530273,14.069999694824219,15098
2025-08-18,13.829999923706055,14.359999656677246,13.710000038146973,13.819999694824219,30523
2025-08-19,13.84000015258789,14.09000015258789,13.600000381469727,13.600000381469727,18940
2025-08-20,13.949999809265137,14.130000114440918,13.75,14.130000114440918,23366
2025-08-21,13.800000190734863,14.119999885559082,13.699999809265137,13.949999809265137,27926
2025-08-22,13.640000343322754,13.9399995803833,13.5,13.930000305175781,37188
2025-08-25,13.65999984741211,13.970000267028809,13.649999618530273,13.699999809265137,12240
2025-08-26,13.600000381469727,13.850000381469727,13.510000228881836,13.800000190734863,28069
2025-08-28,13.550000190734863,13.920000076293945,13.460000038146973,13.600000381469727,10956
2025-08-29,13.380000114440918,13.619999885559082,13.199999809265137,13.619999885559082,14939
2025-09-01,13.789999961853027,13.960000038146973,13.5,13.640000343322754,41380
2025-09-02,13.470000267028809,13.84000015258789,13.119999885559082,13.84000015258789,51675
2025-09-03,13.510000228881836,13.6899995803833,13.229999542236328,13.479999542236328,22148
2025-09-04,13.4399995803833,13.869999885559082,13.319999694824219,13.319999694824219,24016
2025-09-05,13.34000015258789,13.640000343322754,13.0,13.319999694824219,43978
2025-09-08,13.460000038146973,14.15999984741211,12.65999984741211,13.5,79097
2025-09-09,13.40999984741211,13.699999809265137,13.039999961853027,13.039999961853027,10379
2025-09-10,13.329999923706055,13.6899995803833,13.239999771118164,13.6899995803833,23930
2025-09-11,13.170000076293945,13.350000381469727,13.069999694824219,13.069999694824219,30217
2025-09-12,13.15999984741211,13.600000381469727,13.0600004196167,13.100000381469727,21100
2025-09-15,13.229999542236328,13.59000015258789,13.100000381469727,13.15999984741211,39822
2025-09-16,13.380000114440918,13.569999694824219,13.229999542236328,13.229999542236328,11879
2025-09-17,13.489999771118164,13.529999732971191,13.199999809265137,13.529999732971191,28149
2025-09-18,13.420000076293945,13.739999771118164,13.279999732971191,13.279999732971191,25598
2025-09-19,13.539999961853027,13.760000228881836,13.300000190734863,13.300000190734863,40539
2025-09-22,13.5,13.869999885559082,13.329999923706055,13.329999923706055,27649
2025-09-23,13.380000114440918,14.890000343322754,13.229999542236328,13.229999542236328,50510
2025-09-24,13.300000190734863,13.600000381469727,13.010000228881836,13.380000114440918,57881
2025-09-25,13.079999923706055,13.5600004196167,11.899999618530273,13.239999771118164,44045
2025-09-26,12.789999961853027,13.100000381469727,12.729999542236328,13.100000381469727,34742
2025-09-29,13.0600004196167,13.229999542236328,12.800000190734863,13.229999542236328,28238
2025-09-30,13.119999885559082,13.279999732971191,12.75,12.989999771118164,35851
2025-10-01,13.020000457763672,13.270000457763672,12.859999656677246,13.100000381469727,17604
2025-10-03,13.09000015258789,13.289999961853027,12.90999984741211,12.90999984741211,49575
2025-10-06,13.050000190734863,13.479999542236328,12.819999694824219,13.0,47516
2025-10-07,13.0600004196167,13.199999809265137,12.760000228881836,12.84000015258789,33144
2025-10-08,13.270000457763672,13.40999984741211,12.800000190734863,12.800000190734863,51978
2025-10-09,13.079999923706055,13.449999809265137,13.010000228881836,13.010000228881836,12684
2025-10-10,12.890000343322754,13.289999961853027,12.800000190734863,13.0,40835
2025-10-13,12.829999923706055,12.960000038146973,12.729999542236328,12.859999656677246,26007
2025-10-14,12.9399995803833,13.09000015258789,12.699999809265137,13.09000015258789,18374
2025-10-15,12.859999656677246,12.989999771118164,12.529999732971191,12.529999732971191,8699
2025-10-16,12.760000228881836,13.09000015258789,12.5,13.079999923706055,11714
2025-10-17,12.770000457763672,13.09000015258789,12.619999885559082,12.699999809265137,41230
2025-10-20,12.510000228881836,13.039999961853027,12.199999809265137,12.710000038146973,21125
2025-10-21,12.800000190734863,13.0,12.399999618530273,13.0,4447
2025-10-23,12.739999771118164,13.09000015258789,12.699999809265137,12.920000076293945,24210
2025-10-24,12.569999694824219,13.170000076293945,12.079999923706055,12.800000190734863,48239
2025-10-27,12.510000228881836,13.0600004196167,12.220000267028809,12.569999694824219,43812
2025-10-28,12.619999885559082,12.890000343322754,12.300000190734863,12.890000343322754,26395
2025-10-29,12.829999923706055,12.979999542236328,12.5,12.979999542236328,14432
2025-10-30,12.539999961853027,13.069999694824219,12.5,13.069999694824219,38420
2025-10-31,12.239999771118164,13.100000381469727,12.079999923706055,12.5,80973
2025-11-03,12.180000305175781,12.489999771118164,12.119999885559082,12.25,35243
2025-11-04,12.430000305175781,12.789999961853027,12.0,12.180000305175781,93451
2025-11-06,12.470000267028809,12.84000015258789,12.300000190734863,12.84000015258789,40080
2025-11-07,12.470000267028809,12.75,12.239999771118164,12.470000267028809,52675
