Date,Close,High,Low,Open,Volume
2025-05-19,47400.15234375,48099.96744385527,47163.59512681301,47163.59512681301,20678
2025-05-20,46685.5546875,48035.90219983769,46591.917451243,48035.90219983769,26349
2025-05-21,47135.92578125,47645.690623277376,46571.720033763384,46809.28034849459,16817
2025-05-22,47378.4375,47630.845346286435,46779.5875117518,47135.928000626765,22475
2025-05-23,47012.19921875,47497.21822321758,46848.87649275582,47467.52318212773,7499
2025-05-26,46749.89453125,47274.50694076858,46645.961884081225,47244.811898720356,5213
2025-05-27,46309.41796875,47036.94649727477,46066.90845924174,46997.3531079673,7068
2025-05-28,45626.4296875,46507.38255487987,45532.39539266732,46443.043300520665,24287
2025-05-29,45873.890625,46175.790218065595,45240.396396927936,45730.36458895243,35571
2025-05-30,45908.53515625,46418.30004640672,45596.737213726956,45873.8909404141,30136
2025-06-02,45448.26171875,46126.29851015463,45136.463778177065,46126.29851015463,16148
2025-06-03,45463.109375,45908.53500571522,45116.66721777705,45908.53500571522,10518
2025-06-04,45873.890625,46022.36583470439,45161.20961841893,45532.397642679905,27481
2025-06-05,45369.0703125,46329.20990458302,45185.95090576252,45829.34341592124,30324
2025-06-06,45631.37890625,45923.38013786267,45220.59751262541,45769.955761930585,22430
2025-06-09,45854.09375,46076.80656368052,45413.61729627631,45977.82309093362,30684
2025-06-10,46195.58203125,46903.31378938893,45769.953141739876,45977.8184133611,18196
2025-06-11,46235.1796875,47002.30159411127,46141.14538927023,46324.264812138725,18481
2025-06-12,45765.0078125,46462.84128298367,45641.278473761755,46462.84128298367,23638
2025-06-13,45695.71875,45863.99064835373,45042.42785050904,45532.39602512726,13694
2025-06-16,45166.15625,45933.27812363029,45047.37608892176,45804.59961579553,16961
2025-06-17,45364.125,45675.922935304385,45141.4121890683,45433.413430067645,14393
2025-06-18,44725.6796875,45522.49659905112,44324.7966450426,45522.49659905112,33495
2025-06-19,44418.83203125,44963.241114641365,44300.051867600974,44859.308471448465,29724
2025-06-20,44468.32421875,44824.66471332429,43750.694056065666,44344.59488035615,35835
2025-06-23,44968.1875,45126.56104171253,44186.21813779441,44443.575143077265,19219
