Date,Close,High,Low,Open,Volume
2025-07-01,2634.880859375,2663.006951510945,2570.6493845561936,2573.2426722465307,13645
2025-07-02,2596.88037109375,2638.172082804729,2570.449779579927,2635.080104887548,10026
2025-07-03,2615.03271484375,2642.9593782339775,2561.573248168879,2622.812334059835,7734
2025-07-04,2933.39697265625,2972.194991078919,2593.290096160307,2633.085495452465,115299
2025-07-07,2823.3857421875,3011.990313706701,2808.6244569945366,2933.3968979923166,40975
2025-07-08,2754.16748046875,2842.5355243453673,2679.2643220507507,2842.5355243453673,26897
2025-07-09,2745.689697265625,2853.4068311331607,2722.0518193671537,2754.1674346533478,22921
2025-07-10,2485.572998046875,2836.5512336737515,2427.625071294624,2786.8816169577067,158684
2025-07-11,2557.683349609375,2612.1404413191362,2443.5830779808643,2444.58045882902,49719
2025-07-14,2510.0087890625,2581.221685616037,2493.4521692581507,2495.446930993557,16132
2025-07-15,2495.048095703125,2526.465593283287,2483.977070583925,2483.977070583925,6640
2025-07-16,2413.761474609375,2517.3892467564433,2403.687830698506,2517.3892467564433,11156
2025-07-17,2376.060546875,2434.806183992632,2363.7927132074815,2431.9138768073285,8975
2025-07-18,2421.640625,2473.504427512356,2360.8003951297364,2397.703485378913,12874
2025-07-21,2426.12890625,2478.4914006294966,2404.186527652878,2442.585690197842,13615
2025-07-22,2355.913330078125,2480.1868340310307,2337.860639852852,2426.1288423387637,7497
2025-07-23,2296.170166015625,2391.220610625176,2282.0074065111166,2391.220610625176,12237
2025-07-24,2249.592529296875,2329.8816885114165,2214.2853442601477,2295.9707392779455,15001
2025-07-25,2346.537841796875,2371.572198155768,2209.1985495180434,2244.1068787429335,18057
2025-07-28,2393.91357421875,2456.5491430920215,2304.049701727266,2314.0235106720165,20241
2025-07-29,2363.393798828125,2396.2075319378496,2323.897419111421,2359.8031303079924,5242
2025-07-30,2291.482421875,2384.936955516305,2264.0544494695323,2383.7401472388465,9523
2025-07-31,2249.49267578125,2324.7949300932214,2239.1200123228564,2274.028342136353,5744
2025-08-01,2384.737548828125,2546.7120971531613,2239.0201131241033,2254.878614317394,83846
2025-08-04,2381.745361328125,2410.9686676024444,2340.254222457283,2385.136358663215,3317
2025-08-05,2332.275390625,2413.6617691676606,2311.928917739933,2413.6617691676606,4983
2025-08-06,2363.493408203125,2529.2580607466475,2284.401056201863,2332.2753381495195,20939
2025-08-07,2419.04736328125,2450.2654319036997,2293.9759048272285,2363.4932998515396,7826
2025-08-08,2331.078369140625,2443.5829726639167,2313.9234679919537,2339.456514004748,9338
2025-08-11,2300.658447265625,2328.585112149244,2289.3879945230683,2319.4092566734366,2756
2025-08-12,2309.435302734375,2329.5823467204855,2269.041379279077,2269.041379279077,2835
2025-08-13,2294.674072265625,2326.6900949423207,2284.201573343496,2299.9602394694125,3931
2025-08-14,2287.5927734375,2333.87114663701,2275.0256775551366,2287.692365419982,2498
2025-08-18,2300.458984375,2309.235984760692,2269.0414868645676,2287.5928685092986,4346
2025-08-19,2257.172607421875,2307.8393577444776,2228.348155926085,2291.7816728119337,7707
2025-08-20,2281.408935546875,2333.8712674201292,2246.6004401127525,2279.7134367451413,6878
2025-08-21,2254.080810546875,2299.0627860693276,2236.1279545336697,2292.7792377644673,9908
2025-08-22,2231.24072265625,2271.036119845966,2195.0357503062964,2254.0806459604228,10514
2025-08-25,2202.51611328125,2247.996532567898,2184.3638310593396,2231.2407295945513,4657
2025-08-26,2197.529296875,2243.1095534630063,2134.3950397558174,2200.920294397502,7003
2025-08-28,2213.5869140625,2263.1569360553463,2165.2139438651698,2182.269253438308,7355
2025-08-29,2239.3193359375,2258.9676891067484,2204.7102706848887,2211.1932459210125,3416
2025-09-01,2275.025634765625,2293.876034733445,2209.198501098579,2243.8075666142,3530
2025-09-02,2017.8011474609375,2312.6268985976208,1997.7538169826228,2259.267023805524,57019
2025-09-03,2050.614990234375,2068.567845207244,2004.7354719703762,2016.704041952289,13350
2025-09-04,2005.134521484375,2094.4998229118273,1994.7617361065024,2094.4998229118273,6651
2025-09-05,1919.45947265625,2024.7828675383994,1896.0210223536144,1994.761727883866,15499
2025-09-08,2006.5308837890625,2026.5782149341644,1900.0105581291436,1929.0343171079267,12186
2025-09-09,2037.0506591796875,2076.0482258116667,1979.8009744108376,2018.1004231525812,10248
2025-09-10,2070.761962890625,2093.5022937718973,2010.8194013161633,2037.0505649883846,10952
