Date,Close,High,Low,Open,Volume
2025-09-16,374.61151123046875,378.23117960781883,371.88435926254346,378.18160713219453,4006
2025-09-17,376.4534606933594,381.1329749584442,373.46652505768293,376.104978792261,3514
2025-09-18,374.0639343261719,380.03780585407657,373.3172003851838,375.009779087281,5064
2025-09-19,373.6656494140625,378.3451942334542,367.4926671073783,378.146053029985,9509
2025-09-22,376.8517150878906,380.33647335158315,373.6656382357852,377.34953769698956,3652
2025-09-23,371.62457275390625,377.3495326824661,369.93196375159033,376.1049761762574,4926
2025-09-24,368.0402526855469,375.3582511929017,365.40179890661784,371.6245815855453,3632
2025-09-25,364.4061584472656,373.26739502109615,362.41486796394724,373.16782441999396,5183
2025-09-26,358.9798889160156,368.3887488444286,348.47584350148657,364.40616777584023,13468
2025-09-29,353.3047180175781,363.80876310190143,349.57104838314837,362.81311786605346,6529
2025-09-30,351.06451416015625,356.49076243261914,348.475830485329,353.3047159275619,4950
2025-10-01,352.8566589355469,357.43663301208073,350.0688644809684,354.5990380658286,4354
2025-10-03,358.2829284667969,363.3109245332078,353.45404320800503,353.85229520792313,8558
2025-10-06,346.7832336425781,361.0707492721389,343.4976164219799,361.0707492721389,19902
2025-10-07,351.2138671875,353.4540690334869,336.52809953047483,343.4976163846563,31320
2025-10-08,348.1273498535156,353.4540579302457,343.49760559418246,353.4540579302457,5447
2025-10-09,358.2829284667969,366.29786010961345,342.4521759887828,345.63822237280755,13711
2025-10-10,361.12054443359375,363.41051635538514,348.0277850845516,360.3738104958772,21712
2025-10-13,361.31964111328125,362.01660491508164,355.69425174622523,355.69425174622523,6648
2025-10-14,358.08380126953125,360.42357363943063,350.019068821105,360.42357363943063,7509
2025-10-15,358.4820556640625,360.42357603136367,352.8566661482441,360.42357603136367,7590
2025-10-16,358.1833801269531,360.62272315312896,355.146674256122,358.8305434651176,10251
2025-10-17,357.7851257324219,364.40616055073804,349.8697338616684,360.2244383577586,11671
2025-10-20,360.52313232421875,366.3974329163216,355.146654331187,358.830523333505,6797
2025-10-21,356.4907531738281,365.4017899043876,348.4260513283692,365.4017899043876,6328
2025-10-23,349.2723388671875,363.2611727532013,348.4758348271694,358.4820573590484,13600
2025-10-24,342.501953125,353.05579845520646,341.50630791242736,353.0059979637695,8152
2025-10-27,335.6817932128906,346.33520964498126,331.8485528863151,345.43913498823576,8393
2025-10-28,329.8074951171875,339.21635505629035,328.5629385318396,339.21635505629035,10380
2025-10-29,334.6861267089844,336.3787356968176,326.571624434871,329.65813062079513,11396
2025-10-30,336.4783020019531,340.65999354289244,333.5411365560208,337.52371729101804,4260
2025-10-31,336.4783020019531,341.0084754341407,333.64070715133164,341.0084754341407,4087
2025-11-03,334.337646484375,339.4154430885745,330.60397697903426,333.6407130741862,6091
2025-11-04,339.0172119140625,345.5884767241349,334.53680823237886,337.0259213888698,6406
2025-11-06,319.4527893066406,342.7011123180124,313.7278290337068,342.7011123180124,15444
2025-11-07,324.1820983886719,328.26424997690464,313.8273939003685,317.11301106046614,13179
2025-11-10,339.8136901855469,343.3482488303745,312.18453624497005,321.6929660120845,13615
2025-11-11,342.8504333496094,346.68367347620364,331.1516021590942,339.8136972353057,12584
2025-11-12,339.3656921386719,350.46713068426254,336.6774377892096,339.41546224768035,27417
2025-11-13,342.95001220703125,351.3631961839427,335.5324430771215,342.95001220703125,69690
2025-11-14,374.6000061035156,377.0,338.5,338.5,48779
2025-11-17,369.20001220703125,384.54998779296875,366.0,374.6000061035156,23833
2025-11-18,370.54998779296875,387.8500061035156,361.8999938964844,363.54998779296875,42904
2025-11-19,373.8500061035156,377.70001220703125,370.1000061035156,373.5,9175
2025-11-20,367.6499938964844,377.8999938964844,360.5,377.8999938964844,10310
2025-11-21,368.79998779296875,374.70001220703125,365.1000061035156,370.0,8491
2025-11-24,365.1000061035156,371.8999938964844,358.3999938964844,368.1000061035156,7821
2025-11-25,369.25,372.0,362.25,365.79998779296875,5430
2025-11-26,364.45001220703125,373.04998779296875,359.29998779296875,359.29998779296875,1830
2025-11-27,358.79998779296875,366.29998779296875,355.0,360.79998779296875,4319
2025-11-28,360.25,362.45001220703125,358.5,360.6000061035156,3034
2025-12-01,355.6499938964844,364.8500061035156,354.0,362.70001220703125,4338
2025-12-02,344.3500061035156,355.8500061035156,341.25,355.8500061035156,3892
2025-12-03,333.6499938964844,347.8999938964844,331.25,347.8999938964844,10975
2025-12-04,337.29998779296875,343.0,331.0,336.6000061035156,7183
2025-12-05,334.6000061035156,340.70001220703125,333.0,337.04998779296875,4159
2025-12-08,333.25,339.20001220703125,327.0,333.3999938964844,7626
2025-12-09,344.20001220703125,364.79998779296875,328.04998779296875,330.04998779296875,379837
2025-12-10,333.75,349.1000061035156,330.5,345.5,14141
2025-12-11,340.04998779296875,342.8500061035156,331.95001220703125,333.75,5139
2025-12-12,329.70001220703125,341.6000061035156,272.04998779296875,341.6000061035156,61151
2025-12-15,338.1499938964844,339.20001220703125,324.79998779296875,330.0,5981
2025-12-16,334.25,339.20001220703125,331.8500061035156,336.3999938964844,2421
2025-12-17,334.8999938964844,342.0,324.0,335.0,5686
2025-12-18,330.25,335.79998779296875,326.20001220703125,329.8999938964844,2623
2025-12-19,340.1499938964844,344.8999938964844,330.29998779296875,333.1000061035156,8588
2025-12-22,338.6000061035156,346.6499938964844,335.8500061035156,340.6499938964844,7048
2025-12-23,340.45001220703125,347.25,337.0,339.54998779296875,8988
2025-12-24,334.95001220703125,359.25,332.25,340.6499938964844,8914
2025-12-26,344.75,349.0,331.0,331.0,5609
2025-12-29,344.5,351.29998779296875,340.20001220703125,344.75,5130
2025-12-30,342.6000061035156,346.5,336.3999938964844,344.79998779296875,2766
2025-12-31,347.95001220703125,350.6000061035156,343.04998779296875,345.0,5514
2026-01-01,339.0,349.3999938964844,336.54998779296875,344.3999938964844,2405
2026-01-02,337.79998779296875,342.0,333.3500061035156,340.1499938964844,2333
2026-01-05,332.3999938964844,341.1000061035156,327.0,337.79998779296875,7611
2026-01-06,330.04998779296875,333.29998779296875,325.5,333.29998779296875,4589
2026-01-07,328.70001220703125,331.8999938964844,325.0,325.70001220703125,8356
2026-01-08,335.1000061035156,336.0,322.45001220703125,326.25,13538
2026-01-09,335.0,338.25,331.25,334.04998779296875,4389
2026-01-12,323.75,334.70001220703125,315.5,330.0,20282
2026-01-13,339.6499938964844,343.8999938964844,324.8500061035156,325.1000061035156,10098
2026-01-14,337.5,343.95001220703125,329.8500061035156,339.1000061035156,7752
2026-01-16,331.6000061035156,334.8999938964844,325.04998779296875,332.3999938964844,10602
2026-01-19,329.45001220703125,339.0,320.79998779296875,331.20001220703125,21305
2026-01-20,317.8999938964844,329.6000061035156,314.8999938964844,329.5,4313
2026-01-21,321.54998779296875,324.45001220703125,315.0,320.0,10433
2026-01-22,316.3500061035156,323.75,314.0,319.04998779296875,4331
2026-01-23,318.0,323.0,311.6499938964844,315.1000061035156,7415
2026-01-27,314.04998779296875,323.70001220703125,300.0,317.1499938964844,14003
2026-01-28,311.29998779296875,319.75,310.0,316.6499938964844,5946
2026-01-29,318.6000061035156,320.3999938964844,309.1499938964844,313.1499938964844,8196
2026-01-30,316.6000061035156,325.0,307.1000061035156,307.1000061035156,22722
2026-02-02,319.95001220703125,321.95001220703125,309.04998779296875,315.0,13381
2026-02-03,321.45001220703125,335.04998779296875,317.20001220703125,326.0,11029
2026-02-04,320.1499938964844,323.95001220703125,314.0,315.1000061035156,16446
2026-02-05,316.8999938964844,320.20001220703125,315.95001220703125,318.6499938964844,2764
2026-02-06,307.79998779296875,321.6000061035156,305.1000061035156,320.0,14164
2026-02-09,309.04998779296875,313.0,306.0,309.04998779296875,7094
2026-02-10,316.70001220703125,318.75,307.25,310.04998779296875,8829
2026-02-11,309.8999938964844,316.3500061035156,308.1000061035156,316.3500061035156,5697
2026-02-12,310.45001220703125,313.70001220703125,306.29998779296875,306.29998779296875,5338
2026-02-13,314.20001220703125,314.8999938964844,307.79998779296875,307.79998779296875,8751
2026-02-16,316.29998779296875,319.0,313.1000061035156,316.8999938964844,11668
2026-02-17,320.5,324.0,311.5,315.0,15361
2026-02-18,319.8500061035156,321.0,316.54998779296875,320.8500061035156,6348
2026-02-19,315.04998779296875,321.45001220703125,312.1000061035156,318.8500061035156,4114
2026-02-20,310.54998779296875,316.04998779296875,308.6000061035156,315.6000061035156,2086
2026-02-23,309.29998779296875,312.45001220703125,305.3500061035156,311.54998779296875,8726
2026-02-24,301.25,310.75,298.0,307.95001220703125,23042
2026-02-25,304.20001220703125,308.0,300.0,302.79998779296875,4692
2026-02-26,310.6499938964844,313.1000061035156,297.1499938964844,297.1499938964844,12591
2026-02-27,310.25,311.6000061035156,302.8999938964844,307.0,5368
2026-03-02,302.3999938964844,309.0,287.79998779296875,287.79998779296875,7980
2026-03-04,299.29998779296875,308.0,292.8999938964844,306.0,39961
2026-03-05,304.45001220703125,305.79998779296875,296.6000061035156,300.70001220703125,18931
2026-03-06,317.95001220703125,344.1000061035156,300.79998779296875,301.45001220703125,404563
2026-03-09,301.1000061035156,310.20001220703125,284.1000061035156,303.0,85727
2026-03-10,299.8500061035156,303.54998779296875,297.04998779296875,298.95001220703125,14884
2026-03-11,287.70001220703125,302.5,283.95001220703125,299.8500061035156,45859
2026-03-12,299.75,303.6000061035156,283.0,287.70001220703125,41868
2026-03-13,297.75,303.0,287.0,295.5,26092
2026-03-16,287.3500061035156,301.0,283.54998779296875,293.3500061035156,16884
2026-03-17,272.8500061035156,294.54998779296875,261.0,284.70001220703125,138871
2026-03-18,277.20001220703125,281.8999938964844,267.8999938964844,268.79998779296875,31029
2026-03-19,272.75,278.75,270.0,275.25,25450
2026-03-20,279.54998779296875,290.0,273.0,278.5,12963
2026-03-23,268.25,275.0,260.20001220703125,271.0,31953
2026-03-24,278.3500061035156,284.95001220703125,266.20001220703125,268.29998779296875,39571
2026-03-25,280.25,283.3500061035156,275.0,278.20001220703125,11303
2026-03-27,263.25,280.5,260.6000061035156,276.45001220703125,34554
2026-03-30,275.20001220703125,282.8999938964844,258.6000061035156,260.1000061035156,54288
2026-04-01,298.1499938964844,302.0,278.0,278.0,32306
2026-04-02,315.20001220703125,332.0,281.0,290.0,13495
2026-04-06,306.79998779296875,312.8500061035156,304.79998779296875,308.0,10355
2026-04-07,324.20001220703125,326.0,306.25,307.25,15463
2026-04-08,327.75,341.8999938964844,321.29998779296875,338.75,30961
2026-04-09,322.20001220703125,334.0,319.1499938964844,327.8999938964844,41653
2026-04-10,323.54998779296875,326.45001220703125,322.20001220703125,322.20001220703125,6818
2026-04-13,321.54998779296875,333.0,318.20001220703125,333.0,10892
2026-04-15,322.20001220703125,329.8999938964844,321.0,329.8999938964844,21790
2026-04-16,316.75,331.0,315.0,330.95001220703125,18703
2026-04-17,315.8999938964844,323.0,314.95001220703125,321.0,19441
2026-04-20,320.1000061035156,325.0,310.1499938964844,325.0,4423
2026-04-21,316.75,323.29998779296875,313.6000061035156,317.1000061035156,18950
2026-04-22,316.75,320.0,308.3999938964844,317.6000061035156,9237
2026-04-23,312.75,337.8500061035156,310.1499938964844,329.0,12244
2026-04-24,310.3500061035156,313.8500061035156,305.0,310.3999938964844,6143
2026-04-27,305.8500061035156,314.45001220703125,304.0,304.0,27355
2026-04-28,298.70001220703125,308.8999938964844,297.1000061035156,305.8500061035156,15467
2026-04-29,296.79998779296875,301.5,296.0,297.0,9408
2026-04-30,300.54998779296875,303.0,295.0,296.79998779296875,5355
2026-05-04,297.6499938964844,301.45001220703125,295.0,301.20001220703125,4703
