Date,Symbol,Weekly %,20days,Momentum
"11th Jun'26","NIFTYMEDIA","1.78","5.00","0.981"
"11th Jun'26","CNXPHARMA","0.605","1.72","0.598"
"11th Jun'26","NIFTYPVTBANK","0.546","3.99","0.203"
"11th Jun'26","NIFTYHEALTHCARE","0.332","1.18","0.500"
"11th Jun'26","BANKNIFTY","0.139","3.22","0.027"
"11th Jun'26","NIFTYMETAL","-0.257","-4.19","0.082"
"11th Jun'26","NIFTYSMALLCAP50","-0.367","-1.12","0.366"
"11th Jun'26","CNXSMALLCAP","-0.673","-1.62","0.226"
"11th Jun'26","NIFTYSMALLCAP250","-0.836","-0.842","0.445"
"11th Jun'26","NIFTYMIDSMALLCAP400","-0.848","-1.37","0.089"
"11th Jun'26","NIFTYMIDSELECT","-0.891","-1.47","0.086"
"11th Jun'26","NIFTYMICROCAP250","-1.12","0.700","0.977"
"11th Jun'26","NIFTYCHEMICALS","-1.27","-0.234","0.387"
"11th Jun'26","NIFTYINDDEFENCE","-2.09","-3.22","0.321"
