"Date","Symbol","Weekly %","20days","Momentum"
"22nd Jul'26","NIFTYAUTO",0.18,3.14,0.626
"22nd Jul'26","NIFTYCONSUMPTION",-0.056,2.46,0.676
"22nd Jul'26","NIFTYINDDEFENCE",-0.136,-2.39,0.303
"22nd Jul'26","NIFTYOILANDGAS",-0.608,0.643,0.223
"22nd Jul'26","NIFTY100",-0.767,0.65,0.348
"22nd Jul'26","NIFTY",-0.791,0.723,0.321
"22nd Jul'26","NIFTY200",-0.832,0.595,0.387
"22nd Jul'26","CNXINFRA",-0.853,-0.956,0.092
"22nd Jul'26","NIFTY500",-0.887,0.583,0.469
"22nd Jul'26","NIFTYTOTALMKT",-0.9,0.532,0.488
"22nd Jul'26","NIFTYLARGEMID250",-0.912,0.461,0.464
"22nd Jul'26","NIFTYCHEMICALS",-0.986,3.27,1.03
"22nd Jul'26","NIFTYMIDCAP150",-1.06,0.315,0.58
"22nd Jul'26","NIFTYMIDSMALLCAP400",-1.14,0.432,0.729
"22nd Jul'26","NIFTYMIDCAP50",-1.14,1.39,0.778
"22nd Jul'26","NIFTYMICROCAP250",-1.19,-0.57,0.926
"22nd Jul'26","NIFTYHEALTHCARE",-1.19,2.72,1.21
"22nd Jul'26","BANKNIFTY",-1.23,-0.1,0.575
"22nd Jul'26","NIFTYMIDSELECT",-1.27,1,0.703
"22nd Jul'26","NIFTYFINSERVICE",-1.29,-0.533,0.399
"22nd Jul'26","CNXPHARMA",-1.31,3.05,1.36
"22nd Jul'26","NIFTYSMALLCAP250",-1.31,0.654,1.02
"22nd Jul'26","NIFTYPVTBANK",-1.39,-0.97,0.464
"22nd Jul'26","CNXIT",-1.5,5.69,0.773
"22nd Jul'26","CNXSMALLCAP",-1.54,1.72,1.18
"22nd Jul'26","NIFTYSMALLCAP50",-1.82,2.1,1.34
"22nd Jul'26","NIFTYPSUBANK",-1.84,-2.44,0.022
"22nd Jul'26","CNXREALTY",-2.63,12.03,3.22
"22nd Jul'26","NIFTYMEDIA",-2.68,-1.2,0.798
